variables,type,units,values,description
financese.machine_rating,input,kW,[15000.],
financese.offset_tcc_per_kW,input,USD/kW,[0.],
financese.opex_per_kW,input,USD/kW/year,[137.],
financese.plant_aep_in,input,kW*h,[0.],
financese.wake_loss_factor,input,,[0.15],
financese.fixed_charge_rate,input,,[0.056],
financese.electricity_price,input,USD/kW/h,[0.04],
financese.reserve_margin_price,input,USD/kW/year,[120.],
financese.capacity_credit,input,,[1.],
financese.benchmark_price,input,USD/kW/h,[0.071],
financese.turbine_number,input,n/a,40.0,
orbit.site_depth,input,m,[30.],Site depth.
orbit.site_distance,input,km,[115.],Distance from site to installation port.
orbit.site_distance_to_landfall,input,km,[50.],Distance from site to landfall for export cable.
orbit.interconnection_distance,input,km,[8.5],Distance from landfall to interconnection.
orbit.plant_turbine_spacing,input,,[7.],Turbine spacing in rotor diameters.
orbit.plant_row_spacing,input,,[7.],Row spacing in rotor diameters. Not used in ring layouts.
orbit.plant_substation_distance,input,km,[1.],Distance from first turbine in string to substation.
orbit.turbine_rating,input,MW,[15.],Rated capacity of a turbine.
orbit.tower_deck_space,input,m**2,[25.],Deck space required to transport the tower. Defaults to 0 in order to not be a constraint on installation.
orbit.nacelle_deck_space,input,m**2,[25.],Deck space required to transport the rotor nacelle assembly (RNA). Defaults to 0 in order to not be a constraint on installation.
orbit.blade_deck_space,input,m**2,[100.],Deck space required to transport a blade. Defaults to 0 in order to not be a constraint on installation.
orbit.mooring_line_mass,input,kg,[10000.],Total mass of a mooring line
orbit.mooring_line_diameter,input,m,[0.1],Cross-sectional diameter of a mooring line
orbit.mooring_line_length,input,m,[1000.],Unstretched mooring line length
orbit.anchor_mass,input,kg,[10000.],Total mass of an anchor
orbit.mooring_line_cost,input,USD,[500000.],Mooring line unit cost.
orbit.mooring_anchor_cost,input,USD,[100000.],Mooring line unit cost.
orbit.port_cost_per_month,input,USD/mo,[2000000.],Monthly port costs.
orbit.takt_time,input,h,[170.],Substructure assembly cycle time when doing assembly at the port.
orbit.floating_substructure_cost,input,USD,[10000000.],Floating substructure unit cost.
orbit.monopile_diameter,input,m,[10.],Diameter of monopile.
orbit.jacket_length,input,m,[65.],Length/height of jacket (including pile/buckets).
